Start Time,End Time,Starting Battery Level,kWh Added,Charging Time,Ending Battery Level
0.0,1920.0,79,3.55,1920.0,85.751035
763500.0,765780.0,56,3.66,2280.0,62.960222
968700.0,970140.0,57,0.42,1440.0,57.798714
1290840.0,1291680.0,37,1.36,840.0,39.586312
1296480.0,1300260.0,38,6.38,3780.0,50.132846
1305900.0,1309980.0,47,6.91,4080.0,60.140747
1902060.0,1906680.0,41,8.36,4620.0,56.898212
2065140.0,2067600.0,26,31.97,2460.0,86.797349
2077860.0,2085780.0,41,2.3,7920.0,45.37391
2504580.0,2505180.0,24,1.15,600.0,26.186955
2506560.0,2508660.0,26,33.23,2100.0,89.193491
3117780.0,3124560.0,47,11.78,6780.0,69.402026
3808260.0,3814320.0,50,10.74,6060.0,70.424258
4918440.0,4921560.0,40,4.37,3120.0,48.310429
4921800.0,4923480.0,47,2.5999999999999996,1680.0,51.94442
5523540.0,5539200.0,32,27.43,15660.0,84.163631
6826800.0,6839460.0,43,22.29,12660.0,85.388893
7001220.0,7005060.0,72,6.8,3840.0,84.93156
7937400.0,7952460.0,36,26.69,15060.0,86.756373
8554260.0,8557680.0,37,2.71,3420.0,42.153607
8640360.0,8656260.0,34,27.33,15900.0,85.97346099999999
8984520.0,8985000.0,36,1.47,480.0,38.795499
8988480.0,8989680.0,23,23.14,1200.0,67.005338
9422640.0,9436980.0,22,25.33,14340.0,70.170061
10013160.0,10031700.0,25,32.56,18540.0,86.919352
10035240.0,10035960.0,86,1.15,720.0,88.186955
10368780.0,10372620.0,56,6.81,3840.0,68.950577
10481220.0,10516680.0,59,6.7,35460.0,71.74139
11749440.0,11767680.0,27,31.93,18240.0,87.721281
12345660.0,12350760.0,44,8.48,5100.0,60.126416
12782220.0,12783780.0,39,2.3,1560.0,43.37391
13547520.0,13558980.0,49,20.32,11460.0,87.642544
13666560.0,13668900.0,24,33.2,2340.0,87.13644
14428440.0,14447640.0,32,33.94,19200.0,96.54369799999999
14465940.0,14485560.0,95,2.92,19620.0,100.552964
14504460.0,14505540.0,36,19.69,1080.0,73.444473
14509980.0,14512320.0,51,24.61,2340.0,97.800837
14516640.0,14517240.0,57,9.43,600.0,74.933031
14548920.0,14558040.0,21,15.61,9120.0,50.685537
14671020.0,14692680.0,21,36.68,21660.0,90.754356
14872020.0,14873220.0,25,25.68,1200.0,73.835656
14877900.0,14879220.0,35,24.31,1320.0,81.23032699999999
14885040.0,14886360.0,32,23.27,1320.0,76.25255899999999
14946120.0,14965080.0,20,33.12,18960.0,82.984304
15810120.0,15826980.0,30,29.24,16860.0,85.60570799999999
16508520.0,16524780.0,34,27.99,16260.0,87.22858299999999
17356860.0,17376780.0,22,34.42,19920.0,87.456514
17791980.0,17793240.0,55,0.42,1260.0,55.798714
18406380.0,18427380.0,13,36.2,21000.0,81.84154000000001
19097220.0,19113420.0,33,28.47,16200.0,87.141399
20387520.0,20403960.0,15,27.63,16440.0,67.543971
20406540.0,20411940.0,70,9.21,5400.0,87.514657
20817540.0,20817840.0,70,0.31,300.0,70.589527
21432600.0,21432900.0,44,0.31,300.0,44.589527
22028580.0,22029120.0,20,1.15,540.0,22.186955
22029540.0,22029840.0,22,0.31,300.0,22.589527
22030140.0,22030440.0,23,0.31,300.0,23.589527
22031220.0,22032120.0,23,1.57,900.0,25.985669
22032480.0,22032900.0,26,0.63,420.0,27.198071
22034100.0,22034820.0,27,0.42000000000000004,720.0,27.798714
22036860.0,22038060.0,28,21.88,1200.0,69.609196
22573560.0,22574100.0,26,15.8,540.0,56.046859999999995
22807380.0,22807740.0,7,0.73,360.0,8.388241
22812060.0,22833780.0,8,36.21,21720.0,76.860557
24521580.0,24531780.0,41,17.17,10200.0,73.65218899999999
24538800.0,24549360.0,72,7.74,10560.0,86.719158
26874600.0,26878380.0,35,6.6,3780.0,47.55122
27386640.0,27392160.0,38,10.16,5520.0,57.321272
27579420.0,27581520.0,19,34.76,2100.0,85.10309199999999
27590520.0,27630240.0,28,13.4,39720.0,53.48278
27834120.0,27835740.0,32,24.19,1620.0,78.00212300000001
27893280.0,27923160.0,76,9.95,29880.0,94.921915
27976380.0,27989400.0,20,23.87,13020.0,65.393579
27997500.0,27999300.0,57,15.17,1800.0,85.848789
